onset	duration	trial_type	stim_id	choice
0.058	1.947	taste_choice	171.jpg	Heel erg lekker
2.005	0.527	taste_feedback	171.jpg	Heel erg lekker
9.657	0.844	taste_choice	91.jpg	Heel erg lekker
10.501	0.531	taste_feedback	91.jpg	Heel erg lekker
22.265	0.9	taste_choice	2.jpg	Heel erg lekker
23.165	0.525	taste_feedback	2.jpg	Heel erg lekker
35.873	1.708	taste_choice	72.jpg	Lekker
37.581	0.534	taste_feedback	72.jpg	Lekker
46.481	1.41	taste_choice	336.jpg	Neutraal
47.891	0.532	taste_feedback	336.jpg	Neutraal
56.089	1.299	taste_choice	29.jpg	Heel erg lekker
57.388	0.526	taste_feedback	29.jpg	Heel erg lekker
74.688	1.167	taste_choice	154.jpg	Heel erg lekker
75.855	0.525	taste_feedback	154.jpg	Heel erg lekker
85.288	1.771	taste_choice	255.jpg	Neutraal
87.059	0.529	taste_feedback	255.jpg	Neutraal
100.896	0.854	taste_choice	414.jpg	Helemaal niet lekker
101.75	0.529	taste_feedback	414.jpg	Helemaal niet lekker
116.495	1.385	taste_choice	82.jpg	Lekker
117.88	0.524	taste_feedback	82.jpg	Lekker
130.095	1.685	taste_choice	35.jpg	Heel erg lekker
131.78	0.532	taste_feedback	35.jpg	Heel erg lekker
141.703	0.835	taste_choice	153.jpg	Heel erg lekker
142.538	0.532	taste_feedback	153.jpg	Heel erg lekker
159.311	0.682	taste_choice	259.jpg	Heel erg lekker
159.993	0.526	taste_feedback	259.jpg	Heel erg lekker
173.919	0.942	taste_choice	403.jpg	Heel erg lekker
174.861	0.533	taste_feedback	403.jpg	Heel erg lekker
185.527	0.807	taste_choice	48.jpg	Helemaal niet lekker
186.334	0.526	taste_feedback	48.jpg	Helemaal niet lekker
200.126	0.835	taste_choice	410.jpg	Helemaal niet lekker
200.961	0.523	taste_feedback	410.jpg	Helemaal niet lekker
209.726	1.114	taste_choice	213.jpg	Niet lekker
210.84	0.527	taste_feedback	213.jpg	Niet lekker
225.325	0.663	taste_choice	413.jpg	Helemaal niet lekker
225.988	0.529	taste_feedback	413.jpg	Helemaal niet lekker
233.925	1.58	taste_choice	104.jpg	Lekker
235.505	0.528	taste_feedback	104.jpg	Lekker
