onset	duration	trial_type	stim_id	choice
0.083	1.764	taste_choice	64.jpg	Lekker
1.847	0.519	taste_feedback	64.jpg	Lekker
18.666	2.076	taste_choice	326.jpg	Lekker
20.742	0.524	taste_feedback	326.jpg	Lekker
28.266	1.805	taste_choice	403.jpg	Niet lekker
30.071	0.519	taste_feedback	403.jpg	Niet lekker
41.848	1.442	taste_choice	259.jpg	Heel erg lekker
43.29	0.517	taste_feedback	259.jpg	Heel erg lekker
54.431	1.682	taste_choice	119.jpg	Lekker
56.113	0.518	taste_feedback	119.jpg	Lekker
64.014	1.632	taste_choice	48.jpg	Helemaal niet lekker
65.646	0.518	taste_feedback	48.jpg	Helemaal niet lekker
81.597	1.432	taste_choice	101.jpg	Heel erg lekker
83.029	0.518	taste_feedback	101.jpg	Heel erg lekker
100.18	2.17	taste_choice	154.jpg	Lekker
102.35	0.521	taste_feedback	154.jpg	Lekker
109.763	2.52	taste_choice	32.jpg	Niet lekker
112.283	0.521	taste_feedback	32.jpg	Niet lekker
120.346	1.052	taste_choice	144.jpg	Heel erg lekker
121.398	0.523	taste_feedback	144.jpg	Heel erg lekker
132.929	2.503	taste_choice	410.jpg	Neutraal
135.432	0.522	taste_feedback	410.jpg	Neutraal
145.512	0.953	taste_choice	90.jpg	Heel erg lekker
146.465	0.522	taste_feedback	90.jpg	Heel erg lekker
160.103	2.118	taste_choice	400.jpg	Lekker
162.221	0.523	taste_feedback	400.jpg	Lekker
177.694	0.911	taste_choice	91.jpg	Heel erg lekker
178.605	0.522	taste_feedback	91.jpg	Heel erg lekker
192.277	2.029	taste_choice	255.jpg	Neutraal
194.306	0.521	taste_feedback	255.jpg	Neutraal
204.86	1.536	taste_choice	8.jpg	Lekker
206.396	0.522	taste_feedback	8.jpg	Lekker
213.443	2.055	taste_choice	411.jpg	Lekker
215.498	0.52	taste_feedback	411.jpg	Lekker
225.026	2.716	taste_choice	414.jpg	Neutraal
227.742	0.517	taste_feedback	414.jpg	Neutraal
241.609	2.655	taste_choice	116.jpg	Lekker
244.264	0.519	taste_feedback	116.jpg	Lekker
256.191	2.169	taste_choice	235.jpg	Lekker
258.36	0.523	taste_feedback	235.jpg	Lekker
267.774	2.664	taste_choice	40.jpg	Niet lekker
270.438	0.52	taste_feedback	40.jpg	Niet lekker
283.357	1.868	taste_choice	337.jpg	Neutraal
285.225	0.524	taste_feedback	337.jpg	Neutraal
293.949	2.348	taste_choice	402.jpg	Neutraal
296.297	0.518	taste_feedback	402.jpg	Neutraal
309.531	1.47	taste_choice	336.jpg	Lekker
311.001	0.522	taste_feedback	336.jpg	Lekker
323.114	1.852	taste_choice	82.jpg	Neutraal
324.966	0.523	taste_feedback	82.jpg	Neutraal
339.697	1.788	taste_choice	118.jpg	Neutraal
341.485	0.52	taste_feedback	118.jpg	Neutraal
350.28	2.28	taste_choice	29.jpg	Neutraal
352.56	0.52	taste_feedback	29.jpg	Neutraal
361.863	1.257	taste_choice	34.jpg	Lekker
363.12	0.518	taste_feedback	34.jpg	Lekker
370.446	2.478	taste_choice	401.jpg	Heel erg lekker
372.924	0.522	taste_feedback	401.jpg	Heel erg lekker
382.037	1.131	taste_choice	404.jpg	Heel erg lekker
383.168	0.519	taste_feedback	404.jpg	Heel erg lekker
400.62	2.329	taste_choice	2.jpg	Helemaal niet lekker
402.949	0.521	taste_feedback	2.jpg	Helemaal niet lekker
416.203	2.169	taste_choice	139.jpg	Lekker
418.372	0.522	taste_feedback	139.jpg	Lekker
434.786	1.623	taste_choice	104.jpg	Heel erg lekker
436.409	0.518	taste_feedback	104.jpg	Heel erg lekker
449.368	1.719	taste_choice	72.jpg	Neutraal
451.087	0.523	taste_feedback	72.jpg	Neutraal
467.951	2.684	taste_choice	353.jpg	Niet lekker
470.635	0.524	taste_feedback	353.jpg	Niet lekker
476.543	2.38	taste_choice	412.jpg	Niet lekker
478.923	0.519	taste_feedback	412.jpg	Niet lekker
493.125	2.65	taste_choice	35.jpg	Lekker
495.775	0.517	taste_feedback	35.jpg	Lekker
506.708	1.33	taste_choice	65.jpg	Helemaal niet lekker
508.038	0.52	taste_feedback	65.jpg	Helemaal niet lekker
515.291	1.666	taste_choice	81.jpg	Heel erg lekker
516.957	0.518	taste_feedback	81.jpg	Heel erg lekker
531.874	1.978	taste_choice	69.jpg	Lekker
533.852	0.522	taste_feedback	69.jpg	Lekker
547.457	1.204	taste_choice	142.jpg	Lekker
548.661	0.521	taste_feedback	142.jpg	Lekker
562.04	1.722	taste_choice	171.jpg	Lekker
563.762	0.519	taste_feedback	171.jpg	Lekker
572.623	1.201	taste_choice	153.jpg	Heel erg lekker
573.824	0.524	taste_feedback	153.jpg	Heel erg lekker
589.214	1.626	taste_choice	74.jpg	Neutraal
590.84	0.524	taste_feedback	74.jpg	Neutraal
598.805	2.39	taste_choice	53.jpg	Neutraal
601.195	0.518	taste_feedback	53.jpg	Neutraal
616.388	1.68	taste_choice	24.jpg	Neutraal
618.068	0.52	taste_feedback	24.jpg	Neutraal
628.971	3.052	taste_choice	413.jpg	Niet lekker
632.023	0.523	taste_feedback	413.jpg	Niet lekker
642.554	2.313	taste_choice	213.jpg	Neutraal
644.867	0.52	taste_feedback	213.jpg	Neutraal
651.137	2.068	taste_choice	45.jpg	Niet lekker
653.205	0.523	taste_feedback	45.jpg	Niet lekker
668.728	2.017	taste_choice	89.jpg	Heel erg lekker
670.745	0.516	taste_feedback	89.jpg	Heel erg lekker
