onset	duration	trial_type	stim_id	choice
0.058	2.143	taste_choice	142.jpg	Lekker
2.201	0.532	taste_feedback	142.jpg	Lekker
14.666	1.858	taste_choice	48.jpg	Lekker
16.524	0.525	taste_feedback	48.jpg	Lekker
29.266	1.531	taste_choice	64.jpg	Neutraal
30.797	0.527	taste_feedback	64.jpg	Neutraal
40.866	2.044	taste_choice	35.jpg	Neutraal
42.91	0.531	taste_feedback	35.jpg	Neutraal
53.465	1.62	taste_choice	74.jpg	Neutraal
55.085	0.53	taste_feedback	74.jpg	Neutraal
62.074	3.112	taste_choice	40.jpg	Niet lekker
65.186	0.529	taste_feedback	40.jpg	Niet lekker
79.673	2.002	taste_choice	90.jpg	Lekker
81.675	0.532	taste_feedback	90.jpg	Lekker
96.282	1.884	taste_choice	401.jpg	Neutraal
98.166	0.524	taste_feedback	401.jpg	Neutraal
109.881	2.494	taste_choice	104.jpg	Neutraal
112.375	0.531	taste_feedback	104.jpg	Neutraal
127.489	1.949	taste_choice	413.jpg	Helemaal niet lekker
129.438	0.535	taste_feedback	413.jpg	Helemaal niet lekker
137.098	1.939	taste_choice	402.jpg	Lekker
139.037	0.527	taste_feedback	402.jpg	Lekker
152.697	1.791	taste_choice	101.jpg	Lekker
154.488	0.526	taste_feedback	101.jpg	Lekker
167.297	2.49	taste_choice	53.jpg	Neutraal
169.787	0.535	taste_feedback	53.jpg	Neutraal
178.905	2.208	taste_choice	69.jpg	Niet lekker
181.113	0.534	taste_feedback	69.jpg	Niet lekker
189.513	2.607	taste_choice	255.jpg	Heel erg lekker
192.12	0.527	taste_feedback	255.jpg	Heel erg lekker
206.113	2.804	taste_choice	119.jpg	Neutraal
208.917	0.529	taste_feedback	119.jpg	Neutraal
216.713	2.158	taste_choice	34.jpg	Neutraal
218.871	0.534	taste_feedback	34.jpg	Neutraal
230.321	1.987	taste_choice	91.jpg	Neutraal
232.308	0.53	taste_feedback	91.jpg	Neutraal
242.921	1.798	taste_choice	8.jpg	Heel erg lekker
244.719	0.527	taste_feedback	8.jpg	Heel erg lekker
261.521	2.323	taste_choice	65.jpg	Neutraal
263.844	0.535	taste_feedback	65.jpg	Neutraal
280.129	2.353	taste_choice	82.jpg	Neutraal
282.482	0.53	taste_feedback	82.jpg	Neutraal
298.728	1.846	taste_choice	24.jpg	Niet lekker
300.574	0.529	taste_feedback	24.jpg	Niet lekker
317.337	1.862	taste_choice	153.jpg	Lekker
319.199	0.529	taste_feedback	153.jpg	Lekker
328.945	2.352	taste_choice	400.jpg	Neutraal
331.297	0.531	taste_feedback	400.jpg	Neutraal
339.553	1.181	taste_choice	154.jpg	Niet lekker
340.734	0.527	taste_feedback	154.jpg	Niet lekker
352.153	3.645	taste_choice	118.jpg	Lekker
355.798	0.53	taste_feedback	118.jpg	Lekker
364.752	1.427	taste_choice	337.jpg	Neutraal
366.179	0.532	taste_feedback	337.jpg	Neutraal
374.361	1.29	taste_choice	89.jpg	Lekker
375.651	0.526	taste_feedback	89.jpg	Lekker
382.961	1.722	taste_choice	235.jpg	Heel erg lekker
384.683	0.527	taste_feedback	235.jpg	Heel erg lekker
399.56	2.111	taste_choice	414.jpg	Helemaal niet lekker
401.671	0.531	taste_feedback	414.jpg	Helemaal niet lekker
415.16	1.751	taste_choice	2.jpg	Niet lekker
416.911	0.524	taste_feedback	2.jpg	Niet lekker
432.76	2.405	taste_choice	326.jpg	Lekker
435.165	0.528	taste_feedback	326.jpg	Lekker
445.36	3.584	taste_choice	116.jpg	Lekker
448.944	0.532	taste_feedback	116.jpg	Lekker
454.968	0.982	taste_choice	144.jpg	Lekker
455.95	0.526	taste_feedback	144.jpg	Lekker
468.568	0.896	taste_choice	259.jpg	Lekker
469.464	0.529	taste_feedback	259.jpg	Lekker
484.167	1.246	taste_choice	29.jpg	Lekker
485.413	0.529	taste_feedback	29.jpg	Lekker
492.776	1.582	taste_choice	404.jpg	Neutraal
494.358	0.526	taste_feedback	404.jpg	Neutraal
504.375	1.299	taste_choice	32.jpg	Heel erg lekker
505.674	0.526	taste_feedback	32.jpg	Heel erg lekker
512.975	2.182	taste_choice	411.jpg	Neutraal
515.157	0.527	taste_feedback	411.jpg	Neutraal
523.575	1.594	taste_choice	213.jpg	Neutraal
525.169	0.531	taste_feedback	213.jpg	Neutraal
533.183	1.228	taste_choice	336.jpg	Lekker
534.411	0.531	taste_feedback	336.jpg	Lekker
551.8	1.178	taste_choice	171.jpg	Heel erg lekker
552.978	0.53	taste_feedback	171.jpg	Heel erg lekker
562.416	1.693	taste_choice	72.jpg	Lekker
564.109	0.532	taste_feedback	72.jpg	Lekker
578.024	1.358	taste_choice	412.jpg	Lekker
579.382	0.534	taste_feedback	412.jpg	Lekker
591.632	1.497	taste_choice	139.jpg	Helemaal niet lekker
593.129	0.528	taste_feedback	139.jpg	Helemaal niet lekker
608.24	2.733	taste_choice	410.jpg	Lekker
610.973	0.534	taste_feedback	410.jpg	Lekker
625.849	1.497	taste_choice	353.jpg	Lekker
627.346	0.528	taste_feedback	353.jpg	Lekker
640.457	1.534	taste_choice	403.jpg	Lekker
641.991	0.524	taste_feedback	403.jpg	Lekker
657.056	1.219	taste_choice	81.jpg	Lekker
658.275	0.531	taste_feedback	81.jpg	Lekker
665.665	2.611	taste_choice	45.jpg	Niet lekker
668.276	0.53	taste_feedback	45.jpg	Niet lekker
