onset	duration	trial_type	stim_id	choice
0.058	1.929	health_choice	32.jpg	Ongezond
1.987	0.529	health_feedback	32.jpg	Ongezond
13.657	1.23	health_choice	402.jpg	Heel erg ongezond
14.887	0.529	health_feedback	402.jpg	Heel erg ongezond
23.257	1.465	health_choice	116.jpg	Ongezond
24.722	0.527	health_feedback	116.jpg	Ongezond
39.857	1.164	health_choice	90.jpg	Heel erg gezond
41.021	0.527	health_feedback	90.jpg	Heel erg gezond
49.465	1.642	health_choice	404.jpg	Heel erg ongezond
51.107	0.524	health_feedback	404.jpg	Heel erg ongezond
68.064	1.994	health_choice	411.jpg	Gezond
70.058	0.531	health_feedback	411.jpg	Gezond
83.672	1.271	health_choice	29.jpg	Ongezond
84.943	0.529	health_feedback	29.jpg	Ongezond
96.272	1.236	health_choice	255.jpg	Heel erg ongezond
97.508	0.53	health_feedback	255.jpg	Heel erg ongezond
114.879	1.525	health_choice	34.jpg	Ongezond
116.404	0.534	health_feedback	34.jpg	Ongezond
125.488	1.574	health_choice	91.jpg	Gezond
127.062	0.525	health_feedback	91.jpg	Gezond
142.087	1.53	health_choice	72.jpg	Ongezond
143.617	0.528	health_feedback	72.jpg	Ongezond
154.695	1.638	health_choice	8.jpg	Neutraal
156.333	0.529	health_feedback	8.jpg	Neutraal
163.303	1.356	health_choice	65.jpg	Gezond
164.659	0.527	health_feedback	65.jpg	Gezond
177.903	1.318	health_choice	410.jpg	Neutraal
179.221	0.532	health_feedback	410.jpg	Neutraal
190.511	1.367	health_choice	104.jpg	Heel erg ongezond
191.878	0.524	health_feedback	104.jpg	Heel erg ongezond
207.11	1.53	health_choice	74.jpg	Gezond
208.64	0.529	health_feedback	74.jpg	Gezond
221.718	1.287	health_choice	40.jpg	Heel erg ongezond
223.005	0.53	health_feedback	40.jpg	Heel erg ongezond
238.326	1.077	health_choice	81.jpg	Gezond
239.403	0.523	health_feedback	81.jpg	Gezond
249.926	0.963	health_choice	235.jpg	Heel erg ongezond
250.889	0.528	health_feedback	235.jpg	Heel erg ongezond
261.526	2.137	health_choice	82.jpg	Ongezond
263.663	0.529	health_feedback	82.jpg	Ongezond
274.125	1.273	health_choice	2.jpg	Ongezond
275.398	0.527	health_feedback	2.jpg	Ongezond
288.725	1.25	health_choice	353.jpg	Ongezond
289.975	0.525	health_feedback	353.jpg	Ongezond
304.333	1.626	health_choice	101.jpg	Heel erg ongezond
305.959	0.532	health_feedback	101.jpg	Heel erg ongezond
313.941	1.385	health_choice	142.jpg	Gezond
315.326	0.531	health_feedback	142.jpg	Gezond
324.557	1.124	health_choice	64.jpg	Neutraal
325.681	0.526	health_feedback	64.jpg	Neutraal
333.157	1.053	health_choice	153.jpg	Gezond
334.21	0.53	health_feedback	153.jpg	Gezond
343.765	1.393	health_choice	119.jpg	Heel erg ongezond
345.158	0.532	health_feedback	119.jpg	Heel erg ongezond
361.373	1.537	health_choice	69.jpg	Gezond
362.91	0.529	health_feedback	69.jpg	Gezond
370.981	1.263	health_choice	414.jpg	Neutraal
372.244	0.528	health_feedback	414.jpg	Neutraal
379.581	1.058	health_choice	53.jpg	Heel erg gezond
380.639	0.525	health_feedback	53.jpg	Heel erg gezond
388.18	1.105	health_choice	45.jpg	Neutraal
389.285	0.529	health_feedback	45.jpg	Neutraal
398.788	1.688	health_choice	403.jpg	Ongezond
400.476	0.529	health_feedback	403.jpg	Ongezond
413.396	1.479	health_choice	118.jpg	Heel erg ongezond
414.875	0.53	health_feedback	118.jpg	Heel erg ongezond
425.004	2.037	health_choice	326.jpg	Gezond
427.041	0.53	health_feedback	326.jpg	Gezond
438.604	1.504	health_choice	139.jpg	Ongezond
440.108	0.529	health_feedback	139.jpg	Ongezond
452.212	1.409	health_choice	213.jpg	Ongezond
453.621	0.524	health_feedback	213.jpg	Ongezond
470.812	1.156	health_choice	35.jpg	Heel erg ongezond
471.968	0.527	health_feedback	35.jpg	Heel erg ongezond
484.411	1.148	health_choice	144.jpg	Heel erg gezond
485.559	0.527	health_feedback	144.jpg	Heel erg gezond
503.019	1.279	health_choice	400.jpg	Heel erg ongezond
504.298	0.529	health_feedback	400.jpg	Heel erg ongezond
520.618	1.291	health_choice	24.jpg	Ongezond
521.909	0.526	health_feedback	24.jpg	Ongezond
531.218	1.595	health_choice	336.jpg	Neutraal
532.813	0.53	health_feedback	336.jpg	Neutraal
546.826	1.17	health_choice	412.jpg	Neutraal
547.996	0.53	health_feedback	412.jpg	Neutraal
564.434	1.419	health_choice	171.jpg	Gezond
565.853	0.531	health_feedback	171.jpg	Gezond
576.042	1.733	health_choice	89.jpg	Neutraal
577.775	0.534	health_feedback	89.jpg	Neutraal
592.65	1.531	health_choice	337.jpg	Neutraal
594.181	0.527	health_feedback	337.jpg	Neutraal
601.25	1.028	health_choice	48.jpg	Heel erg ongezond
602.278	0.53	health_feedback	48.jpg	Heel erg ongezond
615.858	1.66	health_choice	154.jpg	Neutraal
617.518	0.531	health_feedback	154.jpg	Neutraal
634.465	1.292	health_choice	401.jpg	Heel erg ongezond
635.757	0.525	health_feedback	401.jpg	Heel erg ongezond
647.065	1.079	health_choice	259.jpg	Gezond
648.144	0.529	health_feedback	259.jpg	Gezond
662.665	1.003	health_choice	413.jpg	Neutraal
663.668	0.53	health_feedback	413.jpg	Neutraal
