onset	duration	trial_type	stim_id	choice
0.058	2.662	health_choice	336.jpg	Neutraal
2.72	0.53	health_feedback	336.jpg	Neutraal
18.658	2.917	health_choice	69.jpg	Gezond
21.575	0.533	health_feedback	69.jpg	Gezond
34.266	1.375	health_choice	90.jpg	Gezond
35.641	0.525	health_feedback	90.jpg	Gezond
46.874	1.079	health_choice	404.jpg	Heel erg ongezond
47.953	0.529	health_feedback	404.jpg	Heel erg ongezond
63.473	2.275	health_choice	72.jpg	Gezond
65.748	0.533	health_feedback	72.jpg	Gezond
78.081	1.55	health_choice	2.jpg	Ongezond
79.631	0.525	health_feedback	2.jpg	Ongezond
95.681	2.23	health_choice	64.jpg	Gezond
97.911	0.528	health_feedback	64.jpg	Gezond
112.28	2.293	health_choice	413.jpg	Neutraal
114.573	0.532	health_feedback	413.jpg	Neutraal
128.888	1.104	health_choice	142.jpg	Gezond
129.992	0.529	health_feedback	142.jpg	Gezond
147.487	1.218	health_choice	74.jpg	Heel erg gezond
148.705	0.524	health_feedback	74.jpg	Heel erg gezond
163.087	1.097	health_choice	401.jpg	Heel erg ongezond
164.184	0.528	health_feedback	401.jpg	Heel erg ongezond
171.687	2.56	health_choice	24.jpg	Ongezond
174.247	0.531	health_feedback	24.jpg	Ongezond
181.295	1.566	health_choice	402.jpg	Heel erg ongezond
182.861	0.525	health_feedback	402.jpg	Heel erg ongezond
191.894	1.25	health_choice	53.jpg	Heel erg gezond
193.144	0.534	health_feedback	53.jpg	Heel erg gezond
202.502	1.996	health_choice	235.jpg	Ongezond
204.498	0.529	health_feedback	235.jpg	Ongezond
219.102	1.561	health_choice	154.jpg	Ongezond
220.663	0.53	health_feedback	154.jpg	Ongezond
233.71	2.947	health_choice	411.jpg	Neutraal
236.657	0.528	health_feedback	411.jpg	Neutraal
245.309	1.667	health_choice	91.jpg	Gezond
246.976	0.525	health_feedback	91.jpg	Gezond
262.909	0.967	health_choice	259.jpg	Gezond
263.876	0.533	health_feedback	259.jpg	Gezond
275.517	2.64	health_choice	213.jpg	Ongezond
278.157	0.535	health_feedback	213.jpg	Ongezond
295.725	1.091	health_choice	139.jpg	Ongezond
296.816	0.525	health_feedback	139.jpg	Ongezond
308.324	1.27	health_choice	8.jpg	Gezond
309.594	0.53	health_feedback	8.jpg	Gezond
319.932	1.663	health_choice	89.jpg	Neutraal
321.595	0.529	health_feedback	89.jpg	Neutraal
334.532	1.465	health_choice	32.jpg	Ongezond
335.997	0.526	health_feedback	32.jpg	Ongezond
343.131	1.696	health_choice	48.jpg	Ongezond
344.827	0.529	health_feedback	48.jpg	Ongezond
352.731	1.297	health_choice	119.jpg	Heel erg ongezond
354.028	0.528	health_feedback	119.jpg	Heel erg ongezond
364.331	1.138	health_choice	34.jpg	Neutraal
365.469	0.528	health_feedback	34.jpg	Neutraal
373.931	1.323	health_choice	337.jpg	Gezond
375.254	0.527	health_feedback	337.jpg	Gezond
382.53	1.138	health_choice	65.jpg	Heel erg gezond
383.668	0.529	health_feedback	65.jpg	Heel erg gezond
401.13	1.327	health_choice	255.jpg	Ongezond
402.457	0.531	health_feedback	255.jpg	Ongezond
412.738	1.194	health_choice	144.jpg	Gezond
413.932	0.531	health_feedback	144.jpg	Gezond
431.346	1.413	health_choice	353.jpg	Heel erg ongezond
432.759	0.528	health_feedback	353.jpg	Heel erg ongezond
441.945	0.82	health_choice	81.jpg	Gezond
442.765	0.53	health_feedback	81.jpg	Gezond
458.545	1.326	health_choice	412.jpg	Gezond
459.871	0.524	health_feedback	412.jpg	Gezond
474.144	1.235	health_choice	326.jpg	Heel erg gezond
475.379	0.524	health_feedback	326.jpg	Heel erg gezond
487.744	1.342	health_choice	45.jpg	Ongezond
489.086	0.524	health_feedback	45.jpg	Ongezond
501.352	1.155	health_choice	403.jpg	Ongezond
502.507	0.528	health_feedback	403.jpg	Ongezond
514.951	1.148	health_choice	414.jpg	Gezond
516.099	0.527	health_feedback	414.jpg	Gezond
529.551	1.403	health_choice	118.jpg	Ongezond
530.954	0.53	health_feedback	118.jpg	Ongezond
542.159	1.033	health_choice	35.jpg	Ongezond
543.192	0.525	health_feedback	35.jpg	Ongezond
550.759	1.003	health_choice	171.jpg	Gezond
551.762	0.53	health_feedback	171.jpg	Gezond
561.367	1.566	health_choice	82.jpg	Ongezond
562.933	0.525	health_feedback	82.jpg	Ongezond
578.966	1.439	health_choice	153.jpg	Gezond
580.405	0.528	health_feedback	153.jpg	Gezond
587.566	0.991	health_choice	116.jpg	Heel erg ongezond
588.557	0.526	health_feedback	116.jpg	Heel erg ongezond
606.174	1.135	health_choice	40.jpg	Ongezond
607.309	0.531	health_feedback	40.jpg	Ongezond
619.782	1.584	health_choice	104.jpg	Heel erg ongezond
621.366	0.532	health_feedback	104.jpg	Heel erg ongezond
637.389	1.174	health_choice	400.jpg	Ongezond
638.563	0.526	health_feedback	400.jpg	Ongezond
649.989	1.67	health_choice	29.jpg	Ongezond
651.659	0.53	health_feedback	29.jpg	Ongezond
665.589	1.232	health_choice	101.jpg	Ongezond
666.821	0.526	health_feedback	101.jpg	Ongezond
