onset	duration	trial_type	stim_id	choice
0.075	2.404	decision_choice	45.jpg	Zeker ja
2.479	0.521	decision_feedback	45.jpg	Zeker ja
13.658	2.046	decision_choice	255.jpg	Ja
15.704	0.521	decision_feedback	255.jpg	Ja
24.249	1.676	decision_choice	403.jpg	Zeker ja
25.925	0.516	decision_feedback	403.jpg	Zeker ja
32.833	2.051	decision_choice	89.jpg	Neutraal
34.884	0.524	decision_feedback	89.jpg	Neutraal
51.424	3.086	decision_choice	154.jpg	Zeker ja
54.51	0.522	decision_feedback	154.jpg	Zeker ja
68.007	2.134	decision_choice	48.jpg	Ja
70.141	0.524	decision_feedback	48.jpg	Ja
85.598	2.778	decision_choice	337.jpg	Ja
88.376	0.522	decision_feedback	337.jpg	Ja
101.181	3.242	decision_choice	171.jpg	Zeker ja
104.423	0.525	decision_feedback	171.jpg	Zeker ja
109.772	3.142	decision_choice	72.jpg	Neutraal
112.914	0.517	decision_feedback	72.jpg	Neutraal
128.355	1.87	decision_choice	35.jpg	Ja
130.225	0.522	decision_feedback	35.jpg	Ja
144.938	1.814	decision_choice	353.jpg	Ja
146.752	0.52	decision_feedback	353.jpg	Ja
156.521	2.242	decision_choice	32.jpg	Ja
158.763	0.517	decision_feedback	32.jpg	Ja
173.104	2.111	decision_choice	64.jpg	Ja
175.215	0.523	decision_feedback	64.jpg	Ja
187.687	1.758	decision_choice	53.jpg	Nee
189.445	0.517	decision_feedback	53.jpg	Nee
200.27	2.279	decision_choice	326.jpg	Ja
202.549	0.521	decision_feedback	326.jpg	Ja
215.853	2.347	decision_choice	82.jpg	Zeker ja
218.2	0.52	decision_feedback	82.jpg	Zeker ja
233.436	2.119	decision_choice	153.jpg	Zeker ja
235.555	0.523	decision_feedback	153.jpg	Zeker ja
252.019	1.856	decision_choice	118.jpg	Neutraal
253.875	0.519	decision_feedback	118.jpg	Neutraal
261.602	2.06	decision_choice	81.jpg	Zeker ja
263.662	0.523	decision_feedback	81.jpg	Zeker ja
276.185	1.726	decision_choice	402.jpg	Zeker ja
277.911	0.524	decision_feedback	402.jpg	Zeker ja
289.785	1.197	decision_choice	40.jpg	Zeker ja
290.982	0.519	decision_feedback	40.jpg	Zeker ja
299.368	2.908	decision_choice	144.jpg	Zeker ja
302.276	0.517	decision_feedback	144.jpg	Zeker ja
307.951	2.845	decision_choice	139.jpg	Ja
310.796	0.522	decision_feedback	139.jpg	Ja
316.534	1.388	decision_choice	74.jpg	Ja
317.922	0.52	decision_feedback	74.jpg	Ja
335.117	2.293	decision_choice	336.jpg	Ja
337.41	0.524	decision_feedback	336.jpg	Ja
349.708	1.624	decision_choice	259.jpg	Zeker ja
351.332	0.518	decision_feedback	259.jpg	Zeker ja
360.291	2.72	decision_choice	213.jpg	Neutraal
363.011	0.522	decision_feedback	213.jpg	Neutraal
371.874	1.927	decision_choice	104.jpg	Ja
373.801	0.523	decision_feedback	104.jpg	Ja
381.458	1.101	decision_choice	90.jpg	Zeker ja
382.559	0.523	decision_feedback	90.jpg	Zeker ja
394.049	2.081	decision_choice	24.jpg	Ja
396.13	0.519	decision_feedback	24.jpg	Ja
404.632	1.676	decision_choice	34.jpg	Ja
406.308	0.524	decision_feedback	34.jpg	Ja
418.223	0.881	decision_choice	411.jpg	Neutraal
419.104	0.519	decision_feedback	411.jpg	Neutraal
426.806	1.189	decision_choice	65.jpg	Zeker ja
427.995	0.52	decision_feedback	65.jpg	Zeker ja
442.389	1.556	decision_choice	101.jpg	Neutraal
443.945	0.519	decision_feedback	101.jpg	Neutraal
457.972	1.977	decision_choice	91.jpg	Ja
459.949	0.523	decision_feedback	91.jpg	Ja
468.555	1.341	decision_choice	69.jpg	Ja
469.896	0.518	decision_feedback	69.jpg	Ja
485.138	2.053	decision_choice	413.jpg	Neutraal
487.191	0.522	decision_feedback	413.jpg	Neutraal
499.721	3.222	decision_choice	8.jpg	Zeker nee
502.943	0.52	decision_feedback	8.jpg	Zeker nee
514.313	2.219	decision_choice	400.jpg	Zeker ja
516.532	0.522	decision_feedback	400.jpg	Zeker ja
526.896	2.903	decision_choice	2.jpg	Neutraal
529.799	0.522	decision_feedback	2.jpg	Neutraal
543.479	2.347	decision_choice	410.jpg	Nee
545.826	0.519	decision_feedback	410.jpg	Nee
556.062	2.1	decision_choice	29.jpg	Ja
558.162	0.525	decision_feedback	29.jpg	Ja
574.653	0.588	decision_choice	119.jpg	Neutraal
575.241	0.52	decision_feedback	119.jpg	Neutraal
586.236	1.069	decision_choice	142.jpg	Zeker ja
587.305	0.523	decision_feedback	142.jpg	Zeker ja
603.827	1.108	decision_choice	404.jpg	Zeker ja
604.935	0.517	decision_feedback	404.jpg	Zeker ja
623.985	1.297	decision_choice	235.jpg	Ja
625.282	0.52	decision_feedback	235.jpg	Ja
641.568	1.19	decision_choice	116.jpg	Ja
642.758	0.518	decision_feedback	116.jpg	Ja
655.151	2.107	decision_choice	414.jpg	Neutraal
657.258	0.518	decision_feedback	414.jpg	Neutraal
666.734	0.411	decision_choice	412.jpg	Neutraal
667.145	0.522	decision_feedback	412.jpg	Neutraal
