"trial_type"	"onset"	"stim_id"	"pmod_rt"	"pmod_choice_recoded"	"duration"	"pmod_goalvalue"
"health"	0.084	"116.jpg"	1749	-1	1.749	0
"health"	1.833	"116.jpg"	1749	-1	0.517	0
"health"	14.667	"142.jpg"	2328	1	2.328	1
"health"	16.995	"142.jpg"	2328	1	0.522	1
"health"	31.258	"401.jpg"	1332	-1	1.332	1
"health"	32.59	"401.jpg"	1332	-1	0.518	1
"health"	39.849	"64.jpg"	1818	0	1.818	0
"health"	41.667	"64.jpg"	1818	0	0.524	0
"health"	57.449	"400.jpg"	1953	-2	1.953	-1
"health"	59.402	"400.jpg"	1953	-2	0.522	-1
"health"	76.032	"34.jpg"	3049	0	3.049	0
"health"	79.081	"34.jpg"	3049	0	0.518	0
"health"	90.623	"48.jpg"	1398	-1	1.398	1
"health"	92.021	"48.jpg"	1398	-1	0.519	1
"health"	107.206	"336.jpg"	3140	0	3.14	0
"health"	110.346	"336.jpg"	3140	0	0.518	0
"health"	121.798	"82.jpg"	1817	-1	1.817	1
"health"	123.615	"82.jpg"	1817	-1	0.516	1
"health"	139.38	"259.jpg"	NA	NA	4.017	1
"health"	143.397	"259.jpg"	NA	NA	0.5	1
"health"	149.955	"410.jpg"	1314	-1	1.314	1
"health"	151.269	"410.jpg"	1314	-1	0.519	1
"health"	163.538	"337.jpg"	2324	-1	2.324	0
"health"	165.862	"337.jpg"	2324	-1	0.518	0
"health"	175.121	"353.jpg"	1818	-2	1.818	-1
"health"	176.939	"353.jpg"	1818	-2	0.524	-1
"health"	183.721	"412.jpg"	2638	-1	2.638	-1
"health"	186.359	"412.jpg"	2638	-1	0.52	-1
"health"	200.304	"171.jpg"	2425	1	2.425	0
"health"	202.729	"171.jpg"	2425	1	0.517	0
"health"	214.887	"255.jpg"	1301	-1	1.301	-1
"health"	216.188	"255.jpg"	1301	-1	0.524	-1
"health"	226.478	"2.jpg"	1381	-1	1.381	0
"health"	227.859	"2.jpg"	1381	-1	0.519	0
"health"	245.07	"404.jpg"	1073	-1	1.073	1
"health"	246.143	"404.jpg"	1073	-1	0.518	1
"health"	254.661	"411.jpg"	1832	-1	1.832	0
"health"	256.493	"411.jpg"	1832	-1	0.518	0
"health"	267.244	"144.jpg"	2016	0	2.016	1
"health"	269.26	"144.jpg"	2016	0	0.517	1
"health"	283.835	"89.jpg"	1892	0	1.892	1
"health"	285.727	"89.jpg"	1892	0	0.517	1
"health"	296.418	"53.jpg"	2364	2	2.364	-1
"health"	298.782	"53.jpg"	2364	2	0.52	-1
"health"	308.001	"69.jpg"	1116	1	1.116	1
"health"	309.117	"69.jpg"	1116	1	0.518	1
"health"	318.585	"235.jpg"	815	-1	0.815	1
"health"	319.4	"235.jpg"	815	-1	0.518	1
"health"	337.167	"8.jpg"	1967	0	1.967	0
"health"	339.134	"8.jpg"	1967	0	0.517	0
"health"	352.75	"35.jpg"	1151	-1	1.151	1
"health"	353.901	"35.jpg"	1151	-1	0.516	1
"health"	361.334	"65.jpg"	1722	2	1.722	2
"health"	363.056	"65.jpg"	1722	2	0.519	2
"health"	372.925	"413.jpg"	2396	-1	2.396	-1
"health"	375.321	"413.jpg"	2396	-1	0.521	-1
"health"	388.508	"402.jpg"	730	-1	0.73	1
"health"	389.238	"402.jpg"	730	-1	0.52	1
"health"	398.091	"24.jpg"	1545	-2	1.545	0
"health"	399.636	"24.jpg"	1545	-2	0.522	0
"health"	413.674	"45.jpg"	1576	-1	1.576	0
"health"	415.25	"45.jpg"	1576	-1	0.524	0
"health"	428.265	"213.jpg"	1542	0	1.542	0
"health"	429.807	"213.jpg"	1542	0	0.517	0
"health"	440.848	"104.jpg"	1215	-1	1.215	0
"health"	442.063	"104.jpg"	1215	-1	0.519	0
"health"	456.431	"153.jpg"	2114	1	2.114	1
"health"	458.545	"153.jpg"	2114	1	0.52	1
"health"	465.014	"154.jpg"	1600	-1	1.6	0
"health"	466.614	"154.jpg"	1600	-1	0.517	0
"health"	481.597	"32.jpg"	957	-1	0.957	0
"health"	482.554	"32.jpg"	957	-1	0.518	0
"health"	491.18	"139.jpg"	1363	-2	1.363	-2
"health"	492.543	"139.jpg"	1363	-2	0.521	-2
"health"	508.772	"403.jpg"	937	-1	0.937	1
"health"	509.709	"403.jpg"	937	-1	0.521	1
"health"	522.355	"101.jpg"	1102	-1	1.102	1
"health"	523.457	"101.jpg"	1102	-1	0.523	1
"health"	532.938	"74.jpg"	1750	2	1.75	-2
"health"	534.688	"74.jpg"	1750	2	0.525	-2
"health"	545.529	"29.jpg"	926	-1	0.926	0
"health"	546.455	"29.jpg"	926	-1	0.524	0
"health"	564.12	"118.jpg"	2239	-2	2.239	0
"health"	566.359	"118.jpg"	2239	-2	0.52	0
"health"	573.704	"81.jpg"	1723	0	1.723	0
"health"	575.427	"81.jpg"	1723	0	0.518	0
"health"	584.295	"40.jpg"	1160	-1	1.16	-1
"health"	585.455	"40.jpg"	1160	-1	0.523	-1
"health"	602.878	"414.jpg"	1668	-1	1.668	-1
"health"	604.546	"414.jpg"	1668	-1	0.523	-1
"health"	616.469	"91.jpg"	2334	1	2.334	1
"health"	618.803	"91.jpg"	2334	1	0.524	1
"health"	634.06	"119.jpg"	1151	-1	1.151	1
"health"	635.211	"119.jpg"	1151	-1	0.516	1
"health"	642.644	"90.jpg"	1935	1	1.935	1
"health"	644.579	"90.jpg"	1935	1	0.523	1
"health"	656.227	"326.jpg"	1463	1	1.463	1
"health"	657.69	"326.jpg"	1463	1	0.52	1
"health"	668.818	"72.jpg"	1305	0	1.305	0
"health"	670.123	"72.jpg"	1305	0	0.52	0
