"trial_type"	"onset"	"stim_id"	"pmod_rt"	"pmod_choice_recoded"	"duration"	"pmod_goalvalue"
"decision"	0.083	"82.jpg"	1677	-2	1.677	-2
"decision"	1.76	"82.jpg"	1677	-2	0.523	-2
"decision"	14.666	"104.jpg"	1729	-1	1.729	-1
"decision"	16.395	"104.jpg"	1729	-1	0.521	-1
"decision"	25.249	"116.jpg"	1422	-2	1.422	-2
"decision"	26.671	"116.jpg"	1422	-2	0.52	-2
"decision"	36.832	"259.jpg"	1108	1	1.108	1
"decision"	37.94	"259.jpg"	1108	1	0.517	1
"decision"	48.415	"412.jpg"	1932	0	1.932	0
"decision"	50.347	"412.jpg"	1932	0	0.518	0
"decision"	64.998	"118.jpg"	1711	-1	1.711	-1
"decision"	66.709	"118.jpg"	1711	-1	0.523	-1
"decision"	77.581	"154.jpg"	1760	-1	1.76	-1
"decision"	79.341	"154.jpg"	1760	-1	0.523	-1
"decision"	96.164	"90.jpg"	1401	1	1.401	1
"decision"	97.565	"90.jpg"	1401	1	0.524	1
"decision"	113.755	"91.jpg"	1333	-2	1.333	-2
"decision"	115.088	"91.jpg"	1333	-2	0.517	-2
"decision"	126.338	"34.jpg"	1849	1	1.849	1
"decision"	128.187	"34.jpg"	1849	1	0.518	1
"decision"	139.921	"153.jpg"	1231	2	1.231	2
"decision"	141.152	"153.jpg"	1231	2	0.519	2
"decision"	153.504	"29.jpg"	2019	-1	2.019	-1
"decision"	155.523	"29.jpg"	2019	-1	0.523	-1
"decision"	166.087	"401.jpg"	1364	-1	1.364	-1
"decision"	167.451	"401.jpg"	1364	-1	0.519	-1
"decision"	175.67	"24.jpg"	1466	-1	1.466	-1
"decision"	177.136	"24.jpg"	1466	-1	0.517	-1
"decision"	190.253	"35.jpg"	1307	-1	1.307	-1
"decision"	191.56	"35.jpg"	1307	-1	0.518	-1
"decision"	200.836	"119.jpg"	1329	-2	1.329	-2
"decision"	202.165	"119.jpg"	1329	-2	0.521	-2
"decision"	216.419	"48.jpg"	1115	-2	1.115	-2
"decision"	217.534	"48.jpg"	1115	-2	0.518	-2
"decision"	228.002	"45.jpg"	1622	-1	1.622	-1
"decision"	229.624	"45.jpg"	1622	-1	0.519	-1
"decision"	245.585	"326.jpg"	1273	1	1.273	1
"decision"	246.858	"326.jpg"	1273	1	0.518	1
"decision"	254.168	"410.jpg"	1821	-1	1.821	-1
"decision"	255.989	"410.jpg"	1821	-1	0.52	-1
"decision"	271.75	"337.jpg"	1355	-1	1.355	-1
"decision"	273.105	"337.jpg"	1355	-1	0.52	-1
"decision"	286.333	"8.jpg"	1570	0	1.57	0
"decision"	287.903	"8.jpg"	1570	0	0.522	0
"decision"	299.916	"53.jpg"	1378	1	1.378	1
"decision"	301.294	"53.jpg"	1378	1	0.522	1
"decision"	309.508	"404.jpg"	1226	-2	1.226	-2
"decision"	310.734	"404.jpg"	1226	-2	0.524	-2
"decision"	326.099	"40.jpg"	1433	-2	1.433	-2
"decision"	327.532	"40.jpg"	1433	-2	0.517	-2
"decision"	340.682	"69.jpg"	1991	-1	1.991	-1
"decision"	342.673	"69.jpg"	1991	-1	0.517	-1
"decision"	350.273	"403.jpg"	1003	-2	1.003	-2
"decision"	351.276	"403.jpg"	1003	-2	0.522	-2
"decision"	358.856	"142.jpg"	2026	0	2.026	0
"decision"	360.882	"142.jpg"	2026	0	0.524	0
"decision"	368.448	"255.jpg"	1436	-1	1.436	-1
"decision"	369.884	"255.jpg"	1436	-1	0.522	-1
"decision"	387.03	"171.jpg"	2044	0	2.044	0
"decision"	389.074	"171.jpg"	2044	0	0.523	0
"decision"	401.613	"213.jpg"	2280	1	2.28	1
"decision"	403.893	"213.jpg"	2280	1	0.52	1
"decision"	418.196	"2.jpg"	1428	-1	1.428	-1
"decision"	419.624	"2.jpg"	1428	-1	0.522	-1
"decision"	426.779	"336.jpg"	2037	-1	2.037	-1
"decision"	428.816	"336.jpg"	2037	-1	0.522	-1
"decision"	439.371	"400.jpg"	1103	-2	1.103	-2
"decision"	440.474	"400.jpg"	1103	-2	0.521	-2
"decision"	449.954	"235.jpg"	1369	-1	1.369	-1
"decision"	451.323	"235.jpg"	1369	-1	0.522	-1
"decision"	465.536	"402.jpg"	1423	-2	1.423	-2
"decision"	466.959	"402.jpg"	1423	-2	0.519	-2
"decision"	476.119	"32.jpg"	1682	-1	1.682	-1
"decision"	477.801	"32.jpg"	1682	-1	0.518	-1
"decision"	493.702	"72.jpg"	1980	0	1.98	0
"decision"	495.682	"72.jpg"	1980	0	0.52	0
"decision"	507.294	"139.jpg"	1413	-1	1.413	-1
"decision"	508.707	"139.jpg"	1413	-1	0.52	-1
"decision"	523.876	"81.jpg"	754	1	0.754	1
"decision"	524.63	"81.jpg"	754	1	0.521	1
"decision"	540.459	"353.jpg"	1261	-2	1.261	-2
"decision"	541.72	"353.jpg"	1261	-2	0.523	-2
"decision"	556.042	"411.jpg"	1661	0	1.661	0
"decision"	557.703	"411.jpg"	1661	0	0.522	0
"decision"	568.625	"64.jpg"	2247	0	2.247	0
"decision"	570.872	"64.jpg"	2247	0	0.52	0
"decision"	587.208	"414.jpg"	1787	0	1.787	0
"decision"	588.995	"414.jpg"	1787	0	0.521	0
"decision"	595.791	"65.jpg"	1174	1	1.174	1
"decision"	596.965	"65.jpg"	1174	1	0.518	1
"decision"	607.374	"89.jpg"	1703	-1	1.703	-1
